127.0.0.1 - - [30/May/2021:21:51:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/May/2021:21:51:15 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4015
0:0:0:0:0:0:0:1 - - [30/May/2021:21:51:15 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:51:51 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [30/May/2021:21:51:51 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:52:03 +0530] "GET /FlightSearchWebSpring/login HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [30/May/2021:21:52:03 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:52:10 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [30/May/2021:21:52:10 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:56:33 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [30/May/2021:21:56:33 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:56:43 +0530] "GET /FlightSearchWebSpring/login HTTP/1.1" 200 4015
0:0:0:0:0:0:0:1 - - [30/May/2021:21:56:44 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:56:49 +0530] "GET /FlightSearchWebSpring/signup HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [30/May/2021:21:56:49 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/May/2021:21:58:58 +0530] "GET /FlightSearchWebSpring/signup HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [30/May/2021:21:58:58 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
