0:0:0:0:0:0:0:1 - - [31/May/2021:16:04:02 +0530] "GET /FlightSearchWebSpring/signup HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [31/May/2021:16:04:02 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:08:51 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:08:51 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:08:54 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [31/May/2021:16:08:54 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:09:31 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [31/May/2021:16:09:31 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:09:52 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [31/May/2021:16:09:52 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:10:01 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:10:01 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:10:05 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [31/May/2021:16:10:06 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:10:11 +0530] "GET /FlightSearchWebSpring/login HTTP/1.1" 200 4009
